Symbol	Description
GOG.V	Golden Tag Resources Ltd
GOM.V	Golden Dawn Minerals Inc
GOOD.V	Good Life Networks Inc
GOT.V	Goliath Resources Limited
GOTO.P.V	Good2Go Corp
GPG.V	Grande Portage Resources Ltd
GPH.V	Graphite One Resources Inc
GPLY.V	Goldplay Exploration Ltd.
GPM.V	Gpm Metals Inc
GPV.V	Greenpower Motor Company Inc
GPY.V	Golden Predator Mining Corp
GQ.V	Great Quest Fertilizer Ltd
GQC.V	Goldquest Mining Corp
GR.V	Great Atlantic Resources Corp
GRA.V	Nanoxplore Inc
GRAT.V	Gratomic Inc.
GRB.V	Greenbriar Capital Corp
GRCC.P.V	Green Rise Capital Corporation
GRDM.V	Grid Metals Corp.
GRG.V	Golden Arrow Res Corp
GRI.V	Galore Resources Inc
GRK.V	Gray Rock Resources Ltd
GRO.V	Growmax Resources Corp
GROW.V	Co2 Gro Inc
GRR.V	Golden Reign Resources Ltd
GRX.H.V	Greenshield Explorations Limited
GRZ.V	Gold Reserve Inc
GSA.V	Groundstar Resources Ltd
GSD.V	Devonian Health Group Inc
GSH.V	Golden Share Resources Corp
GSI.V	Gatekeeper Systems Inc
GSP.V	Gensource Potash Corp
GSR.V	Goldstrike Resources Ltd
GSS.V	Gossan Resources Limited
GSX.H.V	Goldstream Minerals Inc
GTA.V	Gta Resources and Mining Inc
GTB.V	Greatbanks Resources Ltd
GTC.V	Getty Copper Inc
GTEC.V	Gtec Holdings Ltd.
GTG.V	Great Thunder Gold Corp
GTT.V	GT Gold Corp
GUF.V	Gulf & Pacific Equities Corp
GUG.V	Gungnir Resources Inc
GUN.V	Gunpoint Exploration Ltd
GUS.P.V	Angus Ventures Inc
GV.V	Guerrero Ventures Inc
GVY.V	Green Valley Mine Incorporated
GWA.V	Gowest Gold Ltd
GWM.V	Galway Metals Inc
GXL.V	Galileo Exploration Ltd
GXS.V	Goldsource Mines Inc
GXU.V	Goviex Uranium Inc
GYA.V	Guyana Goldstrike Inc
GZD.V	Grizzly Discoveries Inc
GZZ.V	Golden Valley Mines Ltd
HAN.V	Hannan Metals Ltd
HAND.V	Handa Mining Corp.
HAR.V	Harfang Exploration Inc
HAWK.V	Hawkeye Gold and Diamond Inc
HBE.V	Hornby Bay Mineral Exploration Ltd
HBK.V	Highbank Resources Ltd
HEI.V	Huntington Exploration Inc
HEM.V	Hemostemix Inc
HEMP.V	Hempco Food and Fiber Inc
HEO.V	H2O Innovation Inc
HFC.V	Hampton Financial Corp
HFC.PR.A.V	Hampton Financial Corporation Pref A
HI.V	Highland Copper Company Inc
HIP.V	Newstrike Brands Ltd.
HIP.WT.V	Newstrike Resources Ltd Wts
HIP.WT.A.V	Newstrike Resources Ltd Wts A
HIT.V	Hit Technologies Inc
HIVE.V	Hive Blockchain Technologies Inc.
HIVE.WT.V	Hive Blockchain Technologies Ltd Wts
HJI.V	Helijet International Inc
HLS.V	Hls Therapeutics Inc.
HMC.V	Havilah Mining Corporation
HME.V	Hemisphere Energy Corp
HMI.V	Hinterland Metals Inc
HMT.V	Halmont Properties Corp
HMX.V	Hunt Mining Corp
HOC.V	Hunter Oil Corp
